Unique_ID,Company_Name,Company_Type,Primary_Therapeutic_Area,Primary_Indication,Lead_Asset_Name,Core_Technology,Company_Overview,Business_Model,Oncology,Cardiometabolic,Immunology_Inflammation,Neuroscience,Infectious_Disease_Vaccines,Rare_Disease,Respiratory,Renal,Ophthalmology,Dermatology,Women_Health,Animal_Health,Diagnostics_Tools,Diversified,Other,Small_Molecule,Monoclonal_Antibody,Bispecific_Antibody,ADC,Vaccine,mRNA,Cell_Therapy,Gene_Therapy,RNA_Therapy,Protein_Peptide,Biosimilar,Generic,Diagnostic,Device,Tools_Manufacturing,Other_Modality,Key_Franchise,Flagship_Product_or_Asset,Geographic_Focus,Headcount_Bucket,Headcount_Source,Headcount_As_Of_Date,Strategic_Notes,Therapeutic_Area_Source,Therapeutic_Area_Source_Date,Modality_Source,Modality_Source_Date,Evidence_URL,Evidence_Notes,Confidence,Last_Reviewed,Reviewer_Notes
CMP-011,Gilead Sciences,Innovator Pharma,Infectious_Disease_Vaccines,HIV & Viral Hepatitis,,,"Biopharmaceutical company historically focused on antiviral therapies, now expanding into oncology.",Dominant virology franchise expanding into cell therapy and oncology,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"Infectious Disease (HIV, HCV)",Biktarvy,Global,5k-25k,SEC 10-K,2024-12-31,HIV treatment leader (Biktarvy) leveraging oncology (Trodelvy) for diversification.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000882095,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-012,Pfizer,Innovator Pharma,Diversified,"Vaccines, Oncology & Immunology",,,"Multinational research-based biopharmaceutical firm with broad vaccine, oncology, and immunology pipelines.",Large-cap diversified pharma restructuring post-COVID vaccine peak,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,"Vaccines, Oncology & Primary Care",Prevnar 20,Global,75k+,SEC 10-K,2024-12-31,Acquired Seagen for $43B to bolster oncology pipeline with ADCs.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000078003,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-013,Bristol Myers Squibb,Innovator Pharma,Diversified,"Oncology, Immunology & Cardiovascular",,,"Multinational pharmaceutical company specializing in oncology, hematology, cardiovascular, and immunology.",Oncology and hematology specialist with strong cardiovascular partnership products,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Oncology & Cardiovascular,Eliquis (apixaban),Global,25k-75k,SEC 10-K,2024-12-31,"Mitigating Revlimid generic erosion with CAR-T cell therapies (Abecma, Breyanzi).",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000014272,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-014,Vertex Pharmaceuticals,Biotech,Rare_Disease,Cystic Fibrosis,,,Biotech company famous for its cystic fibrosis franchise and CRISPR gene editing therapies.,Single-franchise dominance expanding into gene therapies for hemoglobinopathies,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Cystic Fibrosis,Trikafta,Global,500-5k,SEC 10-K,2024-12-31,"Broadening portfolio with Casgevy, the first FDA-approved CRISPR gene-editing therapy.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000875320,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-015,Sanofi,Innovator Pharma,Diversified,"Immunology, Vaccines & Diabetes",,,"French multinational company focusing on immunology, vaccines, and consumer healthcare.",Diversified innovator pharma supported by massive immunology revenue from Dupixent,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Immunology & Vaccines,Dupixent (dupilumab),Global,75k+,SEC 20-F,2024-12-31,Dupixent continues to drive growth and expand into new indications like COPD.,2024 Form 20-F,2025-04-15,2024 Form 20-F,2025-04-15,https://www.sec.gov/edgar/browse/?CIK=0001121404,Therapeutic areas and modalities exposure verified against official company 2024 Form 20-F filings.,High,2026-06-04,
CMP-016,Regeneron Pharmaceuticals,Biotech,Immunology_Inflammation,Immunology & Ophthalmology,,,"Biotechnology company that discovers, invents, develops, and commercializes antibody-based medicines.",R&D-focused biotech developer co-commercializing major antibody assets with big pharma,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Immunology & Ophthalmology,Eylea (aflibercept),Global,5k-25k,SEC 10-K,2024-12-31,Proprietary VelociSuite platform drives a deep clinical pipeline of antibodies.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000872589,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-017,Remegen,Biotech,Oncology,Autoimmune Diseases & Oncology,,,Chinese clinical-stage biotechnology company developing therapeutics for autoimmune and oncology indications.,Clinical-stage biotech targeting domestic and global oncology/autoimmune markets,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Oncology & Autoimmune,Telitacicept,China & Global,500-5k,Annual Report,2024-12-31,Advancing telitacicept (SLE) and disitamab vedotin (HER2 ADC) into global Phase III trials.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://clinicaltrials.gov,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,Medium,2026-06-04,Downgraded to Medium: lacks specific source URL.
CMP-018,Merck KGaA,Diversified Healthcare,Diversified,"Oncology, Neurology & Fertility",,,"German science and technology conglomerate spanning healthcare, life sciences, and electronics.",Conglomerate combining specialized biopharma with high-margin electronics and tools,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Oncology, Neurology & Fertility",Erbitux (cetuximab),Global,25k-75k,Annual Report,2024-12-31,"Healthcare division focuses on neurology (Rebif, Mavenclad) and oncology (Erbitux, Bavencio).",2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.merckgroup.com/en/investors.html,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-019,Takeda Pharmaceutical,Innovator Pharma,Diversified,"Gastroenterology, Oncology & Neuroscience",,,"Largest pharmaceutical company in Japan and Asia, focusing on metabolic, gastrointestinal, and CNS.",Globalized Japanese innovator pharma with key franchises in GI and neuroscience,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"Gastroenterology, Oncology & CNS",Entyvio (vedolizumab),Global,25k-75k,SEC 20-F,2024-03-31,Entyvio is its largest revenue driver. Navigating Vyvanse patent expiration.,2024 Form 20-F,2025-04-15,2024 Form 20-F,2025-04-15,https://www.sec.gov/edgar/browse/?CIK=0001395064,Therapeutic areas and modalities exposure verified against official company 2024 Form 20-F filings.,High,2026-06-04,
CMP-020,Bayer,Diversified Healthcare,Diversified,Cardiovascular & Women's Health,,,"German multinational company spanning pharmaceuticals, consumer health, and crop science.","Life science conglomerate combining pharma, consumer health, and crop science divisions",Y,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,"Cardiovascular, Ophthalmology & Women's Health",Xarelto (rivaroxaban),Global,75k+,Annual Report,2024-12-31,Seeking new assets to replace upcoming patent expirations for Xarelto and Eylea.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.bayer.com/en/investors,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-021,"Otsuka Holdings Co., Ltd.",Innovator Pharma,Neuroscience,Neuroscience / Central Nervous System,,,"Japanese pharmaceutical group focusing on neuropsychiatry, oncology, and medical devices.",Diversified healthcare group with a focus on central nervous system disorders and clinical oncology,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology (Psychiatry),Abilify Maintena (aripiprazole),Global,25k-75k,Annual Report,2024-03-31,Consolidated financials include Taiho Pharmaceutical and Otsuka's diagnostics divisions.,2024 Annual Report,2024-06-25,2024 Annual Report,2024-06-25,https://www.otsuka.com/en/ir/,"Primary and secondary therapeutic areas verified against Otsuka consolidated corporate report, which includes Taiho Pharmaceutical.",Medium,2026-06-04,Downgraded to Medium: ambiguous entity definition (consolidated includes Taiho).
CMP-022,Zoetis Inc.,Animal Health,Animal_Health,Animal Health,,,Largest global developer and manufacturer of medicines and vaccines for pets and livestock.,Direct-to-veterinarian commercial model with companion animal focus,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Companion Animal & Livestock Medicine,Apoquel (oclacitinib),Global,5k-25k,SEC 10-K,2024-12-31,"Former Pfizer animal health unit, now the standalone leader in veterinary medicine.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001555280,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-023,BeOne Medicines,Biotech,Oncology,Oncology / Hematology,,,Global oncology company developing targeted and immuno-oncology therapies (BeiGene).,High-growth clinical biotech scaling global commercial footprints in hematology,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology (Hematology),Brukinsa (zanubrutinib),China & Global,5k-25k,SEC 10-K,2024-12-31,Brukinsa is rapidly taking market share in BTK-inhibitor indications globally.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0001651308,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-024,Daiichi Sankyo,Innovator Pharma,Oncology,Oncology / Antibody-Drug Conjugates,,,Japanese pharmaceutical company that created the leading ADC cancer therapy Enhertu.,Established pharmaceutical developer transitioning into an oncology powerhouse led by ADC technology,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Oncology (Antibody-Drug Conjugates),Enhertu (trastuzumab deruxtecan),Global,5k-25k,Annual Report,2024-03-31,Collaboration with AstraZeneca for Enhertu and datopotamab deruxtecan is a massive growth driver.,2024 Annual Report,2024-06-25,2024 Annual Report,2024-06-25,https://www.daiichisankyo.com/investors/,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-025,Biogen,Biotech,Neuroscience,Neuroscience / Multiple Sclerosis,,,American biotechnology company specializing in therapies for neurological disorders.,Specialty neurology biotech commercializing products and expanding in rare diseases,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,"Neuroscience (Multiple Sclerosis, SMA)",Spinraza (nusinersen),Global,5k-25k,SEC 10-K,2024-12-31,Partnered with Eisai for Alzheimer's therapies Leqembi and Aduhelm.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000875045,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-026,Astellas Pharma,Innovator Pharma,Oncology,Oncology & Urology,,,Japanese multinational pharmaceutical company active in oncology and urology.,"Innovator pharma focused on oncology, transplantation, and women's health franchises",Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Oncology & Urology,Xtandi (enzalutamide),Global,5k-25k,Annual Report,2024-03-31,Xtandi and Padcev are key oncology assets supporting its portfolio.,2024 Annual Report,2024-06-25,2024 Annual Report,2024-06-25,https://clinicaltrials.gov,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,Medium,2026-06-04,Downgraded to Medium: lacks specific source URL.
CMP-027,Chugai Pharmaceutical,Biotech,Oncology,"Oncology, Immunology & Rare Disease",,,"Japanese biotechnology firm, majority-owned by Roche, specializing in oncology and immunology.",Roche subsidiary operating independently with heavy R&D focus and antibody discovery platforms,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology & Rare Disease,Hemlibra (emicizumab),Japan & Global,5k-25k,Annual Report,2024-12-31,"Developed Hemlibra for hemophilia A, which is a major revenue contributor.",2024 Annual Report,2024-06-25,2024 Annual Report,2024-06-25,https://www.chugai-pharm.co.jp/english/ir/,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-028,"Moderna, Inc.",Vaccine Specialist,Infectious_Disease_Vaccines,mRNA Vaccines,,,Biotechnology company that pioneered the use of mRNA for vaccines and therapeutics.,mRNA technology platform scaling respiratory vaccines while advancing oncology therapeutics,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Infectious Disease (mRNA Vaccines),Spikevax (mRNA-1273),Global,5k-25k,SEC 10-K,2024-12-31,"Expanding mRNA platforms into RSV, influenza, and cancer immunotherapies.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001682852,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-029,CSL Limited,Innovator Pharma,Rare_Disease,Rare Disease / Blood Plasma Products,,,Australian specialty biopharmaceutical company supplying blood plasma derivatives and vaccines.,Global blood plasma collector and fractionalizer with supporting vaccine business,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,"Rare Disease (Plasma Therapeutics, Hematology)",Hemgenix (etranacogene dezaparvovec),Global,25k-75k,Annual Report,2024-06-30,Key segments are CSL Behring (plasma) and CSL Seqirus (influenza vaccines).,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0001274152,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-030,Haleon plc,Diversified Healthcare,Other,Consumer Health / Over-the-Counter,,,British consumer healthcare company holding brands like Sensodyne and Advil.,Consumer health brand owner with direct-to-consumer OTC retail distribution,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"Consumer Health (Oral care, Pain relief)",Sensodyne,Global,5k-25k,Annual Report,2024-12-31,Spun off from GSK and Pfizer to form a pure-play consumer health company.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0001900304,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-031,Alnylam Pharmaceuticals,Biotech,Rare_Disease,RNAi Therapeutics / Rare Disease,,,Biotech firm that pioneered RNA interference (RNAi) therapeutics.,RNAi platform company developing products in-house and through licensing deals,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Rare Disease (RNAi Therapeutics),Onpattro (patisiran),Global,500-5k,SEC 10-K,2024-12-31,"Four approved RNAi products (Onpattro, Givlaari, Oxlumo, Amvuttra).",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001178670,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,"Corrected Modalities from Small molecule to RNA therapy (siRNA franchise: Onpattro, Givlaari, Oxlumo, Amvuttra). "
CMP-032,Sun Pharmaceutical Industries,Diversified Healthcare,Diversified,Generics & Specialty Dermatology,,,Indian multinational generic and specialty pharmaceutical company.,Generic medicine manufacturer scaling specialty dermatology and ophthalmology lines,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Generics & Dermatology,Ilumya (tildrakizumab),Global,25k-75k,Annual Report,2024-03-31,Focusing on growing its higher-margin specialty pharma business in the US.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://sunpharma.com/investors/,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-033,United Therapeutics Corporation,Biotech,Respiratory,Pulmonary Arterial Hypertension,,,American biotech company focused on pulmonary arterial hypertension therapies.,Niche cardiorespiratory specialist expanding into organ transplantation technologies,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Pulmonary Hypertension,Tyvaso (treprostinil),US & Global,500-5k,SEC 10-K,2024-12-31,Pioneering ex-vivo lung perfusion and xenotransplantation platforms.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001082554,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-034,GlaxoSmithKline,Innovator Pharma,Diversified,Infectious Disease & Respiratory,,,"British pharmaceutical giant active in vaccines, infectious diseases, and respiratory.","Vertically integrated, vaccines + HIV (ViiV Healthcare) + respiratory franchises",Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"Vaccines, HIV & Infectious Diseases",Shingrix,Global,75k+,Annual Report,2024-12-31,Restructured to focus entirely on vaccines and specialty medicines.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0001131399,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-035,Lonza,CDMO / Services,Diagnostics_Tools,Biopharmaceutical CDMO Services,,,Swiss CDMO providing services to the pharmaceutical and biotech industries.,"B2B contract manufacturer for mammalian, microbial, and cell therapy modalities",N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Biopharmaceutical Manufacturing,Bioprocessing Services,Global,5k-25k,Annual Report,2024-12-31,Major manufacturing partner for Moderna's COVID-19 vaccine.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://clinicaltrials.gov,Therapeutic area and modality exposure reflects CDMO Life-sciences tools and bioprocessing enablement services rather than drug ownership.,Medium,2026-06-04,"Downgraded to Medium: lacks specific source URL, CDMO business model with no direct clinical pipeline asset ownership."
